City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Mogadishu,SO,2.0371,45.3438,80.47,94,40,9.22,scattered clouds
190,Colares,PT,38.7992,-9.4469,65.75,98,100,18.01,overcast clouds
191,Neuquen,AR,-38.9516,-68.0591,66.09,68,0,2.3,clear sky
192,Cabo San Lucas,MX,22.8909,-109.9124,71.62,73,58,3.02,broken clouds
193,Anadyr,RU,64.75,177.4833,30.7,93,40,4.47,scattered clouds
194,Geraldton,AU,-28.7667,114.6,66.61,59,75,17.27,broken clouds
195,Hokitika,NZ,-42.7167,170.9667,68.04,55,100,4.56,overcast clouds
196,Mar Del Plata,AR,-38.0023,-57.5575,66.22,82,0,6.91,clear sky
197,Lata,PT,40.1629,-8.3327,63.07,97,100,11.97,overcast clouds
198,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,93,100,13.8,light snow
199,Dingle,PH,10.9995,122.6711,85.39,71,62,11.34,broken clouds
200,Esperance,AU,-33.8667,121.9,65.12,73,25,22.57,scattered clouds
201,Kangaatsiaq,GL,68.3065,-53.4641,22.03,79,100,8.97,overcast clouds
202,Port Macquarie,AU,-31.4333,152.9167,70.9,46,25,15.64,scattered clouds
203,Cascais,PT,38.6979,-9.4215,65.93,99,100,18.01,overcast clouds
204,Klaksvik,FO,62.2266,-6.589,49.12,90,94,35.23,overcast clouds
205,Aswan,EG,24.0934,32.907,60.1,41,0,5.75,clear sky
206,Sand Springs,US,36.1398,-96.1089,32.58,68,0,1.01,clear sky
207,Xinan,CN,26.72,119.8556,73.67,74,0,0.65,clear sky
208,Taoudenni,ML,22.6783,-3.9836,70.16,19,0,8.57,clear sky
209,Korem,ET,12.5058,39.5228,48.47,50,14,1.36,few clouds
210,Yangjiang,CN,21.85,111.9667,80.13,72,35,9.53,scattered clouds
211,Qui Nhon,VN,13.7667,109.2333,81.66,79,61,8.66,broken clouds
212,Pouebo,NC,-20.4,164.5667,81.14,71,99,2.15,overcast clouds
213,Nuevo Progreso,MX,23.1667,-97.95,52.54,70,100,12.64,overcast clouds
214,Andijon,UZ,40.7821,72.3442,43.88,65,12,5.03,few clouds
215,Ishinomaki,JP,38.4167,141.3,53.6,53,75,9.78,broken clouds
216,Zeerust,ZA,-25.5369,26.0751,70.03,49,20,2.84,few clouds
217,Nouadhibou,MR,20.931,-17.0347,71.58,56,2,13.8,clear sky
218,Bela,IN,25.9333,81.9833,75.74,41,21,6.24,few clouds
219,Shenjiamen,CN,29.9576,122.298,63.73,86,94,14.72,overcast clouds
220,Uttaradit,TH,17.6667,100.5,85.87,57,11,0.89,few clouds
221,Torbay,CA,47.6666,-52.7314,33.58,83,100,2.3,overcast clouds
222,Qarqin,AF,37.4185,66.0436,57.76,40,56,21.65,broken clouds
223,Sindor,RU,62.8629,51.8905,0.46,98,22,3.49,few clouds
224,Winnemucca,US,40.973,-117.7357,21.25,63,0,4.61,clear sky
225,Griffith,US,41.5284,-87.4237,33.12,88,75,11.5,broken clouds
226,Berlevag,NO,70.8578,29.0864,42.8,65,13,17.2,few clouds
227,Moose Factory,CA,51.2585,-80.6094,17.6,86,100,9.22,overcast clouds
228,San Carlos,VE,9.6612,-68.5827,72.88,94,100,3.31,overcast clouds
229,Saint Anthony,US,45.0205,-93.218,22.6,82,100,3.0,overcast clouds
230,Shahjahanpur,IN,27.8833,79.9167,69.51,42,0,10.47,clear sky
231,Chingola,ZM,-12.529,27.8838,60.6,95,60,3.15,broken clouds
232,Meulaboh,ID,4.1363,96.1285,81.0,76,100,6.15,overcast clouds
233,Alofi,NU,-19.0595,-169.9187,82.29,74,75,8.05,broken clouds
234,Xining,CN,36.6167,101.7667,40.39,34,94,2.98,overcast clouds
