City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Qarqin,AF,57.76,broken clouds,37.4185,66.0436,AbdulRahman Türkmen
226,Berlevag,NO,42.8,few clouds,70.8578,29.0864,Kvitbrakka
234,Xining,CN,40.39,overcast clouds,36.6167,101.7667,Super Leisure Hotel
239,Pahrump,US,46.26,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
247,Fulton,US,40.78,broken clouds,33.7668,-84.4499,The Blue Door
251,Maneadero,MX,58.1,clear sky,31.7167,-116.5667,Casa De Thompson
253,Tabas,IR,52.02,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
269,Zhangjiakou,CN,46.71,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
270,Comodoro Rivadavia,AR,55.26,clear sky,-45.8667,-67.5,Austral Hotel
274,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,Hotel San Juan
279,Pacific Grove,US,56.44,overcast clouds,36.6177,-121.9166,Lovers Point Inn
281,Matay,EG,58.66,broken clouds,28.419,30.7792,Nag Aespen
